State_Name,Crop_Year,Max Temperature,Min Temperature,Temperature,Heat Index,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity
West Bengal,1990,37.2,9.7,26,48.9,2377.9,42.5,3.9,56.1,77.81
West Bengal,1991,38.2,10.1,26.2,49.3,1625.6,40.7,3.2,51.4,75.75
West Bengal,1992,39.4,9.7,26.2,50.3,1839.2,55.4,2.5,46.5,73.55
West Bengal,1993,39.7,10.2,26.2,49.8,1914.4,92.5,2.3,53,75.58
West Bengal,1994,41.1,9.9,26.2,51.8,1552,83.2,2.4,52.1,76.45
West Bengal,1995,41.1,9.1,26.3,50.9,2112.1,63,2.4,53.2,77.68
West Bengal,1996,39.4,9.1,26.4,51.2,1438.7,77.8,2.2,52.6,78
West Bengal,1997,40.1,9.1,26.2,54.1,146.2,37.1,3.2,49.3,75.91
West Bengal,1998,42.1,8.7,27.1,55.1,2087.7,81.4,2.5,59.9,78.74
West Bengal,1999,40.1,10.1,27.1,52.8,2851,79.6,2.4,55.2,76.84
West Bengal,2000,37.4,0.1,26.8,56.5,3456.2,37.1,2.4,54.1,75.99
West Bengal,2001,38.6,0.1,26.1,49.6,5961.1,74.2,3.5,50.8,73.38
West Bengal,2002,44.1,11.1,26.7,54.1,639.1,74.2,3.2,37.7,67.7
West Bengal,2003,40.1,8.1,27.9,50.5,1239.6,27.7,3.6,48.6,75.47
West Bengal,2004,41.1,10.1,27.6,56.8,1538.2,37.1,3.3,42.4,72.85
West Bengal,2005,40.1,11.1,26.3,54.4,1681.3,33.5,3.2,48.4,75.19
West Bengal,2006,40.1,9.1,24.8,49.6,156.3,25.9,2.5,22.1,67.81
West Bengal,2007,38.9,10.1,26.3,55.3,2022.9,74.2,2,47.3,76.63
West Bengal,2008,40.1,10.1,26.3,59.9,1690.2,124.2,3,42.3,76.3
West Bengal,2009,41.1,10.1,27,55.4,1449.2,70.2,3,33.6,72.89
West Bengal,2010,40.1,10.1,27,56.7,1214.3,124.2,3.2,34,74.39
West Bengal,2011,38.1,8.1,26.4,56.5,2546.5,48.2,3,35.7,74.23
West Bengal,2012,41.1,9,26.6,56.8,1998.05,46.4,3,35.6,73.61
West Bengal,2013,40.1,8,26.3,52.7,3032.4,37.1,3,35.8,74.62
West Bengal,2014,41.1,9.1,26.7,55.4,2560.17,54,2.9,36.7,73.68
West Bengal,2015,38.1,12,27.5,55.4,2798.62,33.5,3,44.5,75.31
West Bengal,2016,42.1,11.1,27.4,52.4,3322.58,38.9,3.2,40.9,75.28
West Bengal,2017,39,10,26.7,52.5,2092.4,155.5,3.2,37.6,75.12
West Bengal,2018,41.1,9.1,26.5,52.7,2680.14,48.2,3.2,39.9,74.21
West Bengal,2019,40,9,26.3,59.3,1971.6,198.4,3.4,37.9,77.98
Haryana,1990,42.2,4.9,24.9,46.3,1019.4,66.6,3.4,34.2,62.46
Haryana,1991,41.7,3.7,25.2,48.2,820.4,59,3.2,24.4,58.44
Haryana,1992,44.7,4.4,23.9,46,610.6,168.5,3.1,28,59.38
Haryana,1993,44.7,5.1,24.9,49.3,1026.5,92.5,2.7,28.8,58.97
Haryana,1994,45.9,5.7,24.7,47.2,1066.3,50,2.6,27.7,58.9
Haryana,1995,45.4,4.2,24.9,49.4,1003.9,46.4,2.2,31,58.69
Haryana,1996,44.1,-0.8,25.9,56.8,1164.1,64.8,3,30.1,59.87
Haryana,1997,43.1,0.1,24,56.5,690.2,83.2,2.8,41.3,67.83
Haryana,1998,47.1,0.1,25,56.5,889.1,64.8,2.5,35.9,65.88
Haryana,1999,45.1,0.1,26.3,46.9,511,61.2,2.6,28.8,51.63
Haryana,2000,43.1,5.1,25.6,53.8,2116.1,54,2.6,27,58.89
Haryana,2001,46.1,3.8,25.5,48.9,1736.8,55.4,4.2,27.1,56.86
Haryana,2002,47.1,4.1,26.1,50.1,1123.5,63,2.3,24.1,51.71
Haryana,2003,47.1,0.1,26.5,51.7,1395.1,63,2.6,34.8,59.39
Haryana,2004,46.1,4.1,26.2,51,557.5,64.8,2.7,30.7,58.32
Haryana,2005,47.1,5.1,25.8,56.7,696.2,63,2.8,33.6,57.44
Haryana,2006,45.1,0.1,25.9,50.5,738.1,85.3,2.7,36.6,59.32
Haryana,2007,49.1,1.1,26,55.4,961.8,51.8,2.7,35.4,59.78
Haryana,2008,44.1,2.1,25,49.8,896.3,63,2.7,35.8,58.72
Haryana,2009,44.1,5.1,25.9,51.2,733,46.4,2.8,29.9,56.61
Haryana,2010,45.1,4.1,25.9,50.3,1083.6,50.3,2.4,33.5,61.93
Haryana,2011,44.1,4.1,25,49,673.4,85.3,2.6,33,62.88
Haryana,2012,45.1,3.1,25,50.3,573.7,55.4,2.7,32.2,57.73
Haryana,2013,46.1,1.1,25,50.1,1112.2,48,2.3,33.3,65.66
Haryana,2014,46.1,1.1,25.1,51.4,560.9,55.4,2.6,30.6,60.72
Haryana,2015,46.1,5.1,25.3,50.6,737.3,63,2.4,32,61.66
Haryana,2016,44.9,4.1,26.1,51.6,1072.69,37.1,2.5,31.5,61.17
Haryana,2017,46,4.3,25.8,53.6,769.92,122.4,2.8,25.8,60.31
Haryana,2018,46.1,3.1,25.6,58.3,1484.41,46.4,2.8,29.8,61
Haryana,2019,47,3,25.3,53,657.69,43.8,2.7,34.2,63.72
Andhra Pradesh,1990,38.2,19.2,27.2,45.1,1461.7,42.5,6.1,60,78.16
Andhra Pradesh,1991,38.1,16.1,27.5,46.2,899,66.6,6.2,52.7,76.1
Andhra Pradesh,1992,36.6,10.7,27,44.7,1466.3,92.5,5.8,50.2,76.81
Andhra Pradesh,1993,39.9,11.9,27.4,52.7,974.5,92.5,5.8,50.3,76.2
Andhra Pradesh,1994,38.1,15.4,27.3,47.9,1087.1,37.1,5.9,52.5,77.65
Andhra Pradesh,1995,39.7,15.7,27.4,55.5,1659.1,66.6,5.4,54.1,77.11
Andhra Pradesh,1996,38.4,18.7,27.5,47.9,1440.4,103.7,5.1,55.2,77.18
Andhra Pradesh,1997,39.1,19.1,27.6,52.8,1241.7,48.2,5.6,54.5,76.52
Andhra Pradesh,1998,38.9,17.9,27.8,49.7,1909.8,74.2,5.5,55.2,78.32
Andhra Pradesh,1999,35.1,18.7,27.7,47.8,799.9,35.3,4.6,50,75.56
Andhra Pradesh,2000,35.4,13.2,27.7,49.1,2266.3,33.5,5.2,51.2,74.72
Andhra Pradesh,2001,37.9,18.2,27.8,48.2,2805.2,44.3,5.1,57.8,76.04
Andhra Pradesh,2002,37.2,19.1,27.9,47.8,729.7,46.8,5.3,56.4,75.06
Andhra Pradesh,2003,38.2,13.7,27.7,48.2,1507.4,38.9,5.1,55.9,75.75
Andhra Pradesh,2004,39.1,18.1,27.6,47.2,762.5,38.9,4.3,52.2,74.81
Andhra Pradesh,2005,37.1,17.1,27.9,49.3,1574.2,72,4.3,64.8,74.79
Andhra Pradesh,2006,36.4,18.4,27.7,47.7,1295.2,70.2,4.2,54.6,75.67
Andhra Pradesh,2007,37.2,19.1,27.9,48.8,1248.3,40.7,4.4,56.1,75.95
Andhra Pradesh,2008,37.1,19.4,27.8,47.2,951.4,66.6,5.1,55.1,76.9
Andhra Pradesh,2009,39.7,17.2,28.2,47.5,769,37.1,4.4,53,74.81
Andhra Pradesh,2010,36.2,17.7,27.9,48.2,1818.3,40.7,4.6,62.3,77.68
Andhra Pradesh,2011,39.9,17.9,27.9,47.7,699.5,44.3,4.6,49.9,73.62
Andhra Pradesh,2012,36.7,15.7,28,52.2,1121.3,48.2,5,53.9,74.78
Andhra Pradesh,2013,38.1,19.4,28,48.5,1214.4,44.6,4.4,53.2,74.49
Andhra Pradesh,2014,40.1,19.4,28.1,48,1327.7,111.2,4.2,52.3,73.13
Andhra Pradesh,2015,39.1,17.8,28.2,50.1,1525.08,33.5,4.4,53.5,73.88
Andhra Pradesh,2016,43,13.7,28.7,56.7,2289.9,46.4,4.9,45.2,72.99
Andhra Pradesh,2017,41.1,14.1,28.2,56.8,1943.32,72,4.9,42.4,74.29
Andhra Pradesh,2018,42.1,12.1,27.8,52.4,3077.75,54,5,43.2,72.39
Andhra Pradesh,2019,43,12.1,27.7,54.4,2903.18,37.1,4.5,48.6,76.83
Assam,1990,37.9,9.7,24,47.6,2323.7,27.7,3.6,56.8,81.87
Assam,1991,35.2,8.2,23.8,48.6,2459.7,27.7,3.2,56.7,81.17
Assam,1992,38.4,6.7,23.8,48.6,1798.4,27.7,2.7,51,79.61
Assam,1993,34.2,9.4,24,46.8,2165.7,110.9,3.6,55.1,81.58
Assam,1994,38.1,10.1,24.2,51.2,1872,40.7,3.7,51.4,79.89
Assam,1995,37.9,8.1,24.4,49.4,2272.1,64.8,3.2,57.5,79.79
Assam,1996,38.1,8.2,24.4,49.5,1582.3,79.4,3.1,52,79.17
Assam,1997,36.4,2.7,23.7,48.6,1444.1,92.5,3.2,54.8,80.03
Assam,1998,36.7,8.2,24.4,49.1,1461.4,74.2,3.7,56.5,80.02
Assam,1999,38.4,8.9,25.2,49.7,1869.6,37.1,3.6,48.9,77.39
Assam,2000,37.1,9.1,24.2,48.7,3578.7,74.2,3.4,52.2,80.65
Assam,2001,36.2,9.1,24.4,51.2,4490.4,148,3,50.5,79.78
Assam,2002,35.4,9.7,24.2,46.5,2214.1,40.7,3,56,80.06
Assam,2003,35.9,9.1,24,49.6,2009.8,37.1,2.9,58.2,81.9
Assam,2004,36.9,7.9,24.1,51.9,2063.2,40.7,3,58.9,81.27
Assam,2005,40.4,9.2,24.6,48.6,1856.9,37.1,2.7,58.7,79.86
Assam,2006,37.7,10.7,24.9,50.7,1324.7,27.7,3,52.2,78.16
Assam,2007,36.7,7.7,24.5,48.9,1816.3,22.3,3.1,54.2,79.2
Assam,2008,36.2,8.7,24.6,48,1757.2,18.4,2.9,54.2,80.29
Assam,2009,37.4,11.1,25,50.7,1571.8,37.1,2.8,54.5,78.56
Assam,2010,36.7,9.4,24.5,48.5,2059.2,27.7,2.7,59.2,82.96
Assam,2011,36.1,8.9,24.5,55,1200.6,42.5,2.7,54.1,83.9
